entry	annlevel	class	region	units	insertions
1ezgA	Classified (by similarity)	III.1
3boiB	Predicted	UA.1		
2zzkB	Predicted	UA.1		
3l4zA	Predicted	UA.1		
3l72R	Predicted	UA.1		
3desD	Predicted	UA.1		
4l5tD	Predicted	UA.1		
4hmcA	Predicted	UA.1		
4l5tA	Predicted	UA.1		
4l5tB	Predicted	UA.1		
4l5tC	Predicted	UA.1		
3l72E	Predicted	UA.1		
4h6uB	Predicted	UA.1		
2z62A	Predicted	UA.1		
1e9yA	Predicted	UA.1		
1k0rA	Predicted	UA.1		
1v0fD	Predicted	UA.1		
1v0fE	Predicted	UA.1		
1v0fF	Predicted	UA.1		
1v0fA	Predicted	UA.1		
3w3jB	Predicted	UA.1		
1v0fB	Predicted	UA.1		
1v0fC	Predicted	UA.1		
2wscF	Predicted	UA.1		
3hpzA	Predicted	UA.1		
3hpzB	Predicted	UA.1		
3pt6A	Predicted	UA.1		
3gtmS	Predicted	UA.1		
3lhcA	Predicted	UA.1		
2fspA	Predicted	UA.1		
2pfvA	Predicted	UA.1		
3gtmI	Predicted	UA.1		
2zjrN	Predicted	UA.1		
2zjrI	Predicted	UA.1		
3w15A	Predicted	UA.1		
1n15A	Predicted	UA.1		
1n15B	Predicted	UA.1		
1r5yA	Predicted	UA.1		
2gc7M	Predicted	UA.1		
1d8lA	Predicted	UA.1		
1so7A	Predicted	UA.1		
2r7zI	Predicted	UA.1		
3po3I	Predicted	UA.1		
1vspO	Predicted	UA.1		
1k78A	Predicted	UA.1		
3i1pQ	Predicted	UA.1		
1k78E	Predicted	UA.1		
3i1pL	Predicted	UA.1		
2i0sA	Predicted	UA.1		
3po3S	Predicted	UA.1		
4k3oA	Predicted	UA.1		
3w13E	Predicted	UA.1		
2yv2A	Predicted	UA.1		
2d5nA	Predicted	UA.1		
2d5nB	Predicted	UA.1		
2d5nC	Predicted	UA.1		
2d5nD	Predicted	UA.1		
2hu2A	Predicted	UA.1		
3uqzB	Predicted	UA.1		
2otlL	Predicted	UA.1		
1wqvL	Predicted	UA.1		
1ivoA	Predicted	UA.1		
1ivoB	Predicted	UA.1		
